id	emotion
34170_0016_A_123	0.003755443263798952,0.004896427039057016,0.002046063309535384,0.008583569899201393,0.01999836042523384,0.02590220980346203
34170_0016_A_124	0.062145017087459564,0.4559742212295532,0.07307402789592743,0.017561715096235275,0.008686061948537827,0.07228575646877289
34170_0016_A_125	0.01738927699625492,0.4407632350921631,0.022590231150388718,0.040043678134679794,0.018836118280887604,0.0353669598698616
34170_0016_A_126	0.0023195124231278896,0.02116307057440281,0.008944578468799591,0.0480395182967186,0.0735832080245018,0.03519216552376747
34170_0016_A_127	0.001953515224158764,0.014537898823618889,0.008619727566838264,0.04355189576745033,0.07901240885257721,0.032777123153209686
34170_0016_A_128	0.0661168172955513,0.6361780166625977,0.16380132734775543,0.030088964849710464,0.012073541060090065,0.04537609592080116
34170_0016_A_129	0.05953814461827278,0.07186257094144821,0.012921160086989403,0.016024217009544373,0.028152626007795334,0.40247005224227905
34170_0016_A_130	0.018649520352482796,0.1404675990343094,0.0042307330295443535,0.05141216889023781,0.16702429950237274,0.03072873130440712
34170_0016_A_131	0.009329348802566528,0.09741193056106567,0.09800538420677185,0.30360883474349976,0.02337951771914959,0.17435848712921143
34170_0016_A_132	0.113618403673172,0.02147163823246956,0.010042046196758747,0.08119805157184601,0.09908413141965866,0.26751309633255005
34170_0016_A_133	0.016334593296051025,0.02512580156326294,0.004535158164799213,0.016039319336414337,0.0568682998418808,0.08388986438512802
34170_0016_A_134	0.018300499767065048,0.02898850478231907,0.004032262600958347,0.024524588137865067,0.0923953503370285,0.09898316860198975
34170_0016_A_135	0.02231599949300289,0.10036775469779968,0.008582593873143196,0.06069168448448181,0.03753894194960594,0.11317373067140579
34170_0016_A_136	0.04365551471710205,0.9759007692337036,0.010752533562481403,0.017587482929229736,0.01005603838711977,0.3255126178264618
34170_0017_A_139	0.006817137822508812,0.0313679501414299,0.002454496454447508,0.04847969859838486,0.029636476188898087,0.0496712252497673
34170_0017_A_140	0.015014871954917908,0.04881250485777855,0.005060208961367607,0.018304402008652687,0.03264099359512329,0.013241605833172798
34170_0017_A_141	0.005801214836537838,0.05320959538221359,0.05153290182352066,0.0707554742693901,0.05199012905359268,0.9658298492431641
34170_0017_A_142	0.0033865119330585003,0.01306607574224472,0.0032387464307248592,0.044307906180620193,0.023756923153996468,0.06700315326452255
34170_0017_A_143	0.0080084428191185,0.11530247330665588,0.018212666735053062,0.015161057934165001,0.07987378537654877,0.013155350461602211
34170_0017_A_144	0.016923969611525536,0.02517976239323616,0.01945282518863678,0.027893830090761185,0.050425149500370026,0.33931297063827515
34170_0017_A_145	0.008742784149944782,0.011145072989165783,0.011636067181825638,0.03813604265451431,0.017343007028102875,0.10490919649600983
34170_0017_A_146	0.003921749070286751,0.009287543594837189,0.007880807854235172,0.022657599300146103,0.01823275536298752,0.11091406643390656
34170_0017_A_147	0.196064293384552,0.115733802318573,0.11101602762937546,0.018712636083364487,0.032583605498075485,0.1364198476076126
34170_0017_A_148	0.029805272817611694,0.04893478751182556,0.004738556686788797,0.08000791072845459,0.021106529980897903,0.23951205611228943
34170_0017_A_149	0.062387287616729736,0.2312983274459839,0.0025406614877283573,0.016311420127749443,0.009914505295455456,0.022485001012682915
34170_0017_A_150	0.0419752411544323,0.11913448572158813,0.0024576429277658463,0.01270869467407465,0.011861837469041348,0.022050783038139343
34170_0017_A_151	0.014687761664390564,0.06106104701757431,0.03142823651432991,0.1073598712682724,0.04115373641252518,0.3389195501804352
34170_0017_A_152	0.2425742894411087,0.525326132774353,0.11261078715324402,0.2701256573200226,0.018547512590885162,0.38938623666763306
34170_0017_A_153	0.0714154988527298,0.08231523633003235,0.003245196770876646,0.013744172640144825,0.014873046427965164,0.06468107551336288
34170_0017_A_154	0.040467120707035065,0.037057064473629,0.0027225790545344353,0.008118459023535252,0.025401854887604713,0.11604559421539307
34170_0017_A_155	0.02741840109229088,0.07950964570045471,0.14919084310531616,0.08410155028104782,0.025186216458678246,0.06865672022104263
34170_0017_A_156	0.18581804633140564,0.5238567590713501,0.011961895041167736,0.018218765035271645,0.018257513642311096,0.13408875465393066
34170_0017_A_157	0.6579962372779846,0.08051447570323944,0.0017999650444835424,0.17106303572654724,0.02489788457751274,0.18005309998989105
34170_0017_A_158	0.008162412792444229,0.03404299169778824,0.007983710616827011,0.04786238074302673,0.014265734702348709,0.2302578091621399
34170_0017_A_159	0.002442164346575737,0.011281917802989483,0.011771416291594505,0.01828634925186634,0.07500419020652771,0.031650394201278687
34170_0017_A_160	0.002008708193898201,0.009211651980876923,0.01102465856820345,0.014597623609006405,0.061973102390766144,0.022124823182821274
34170_0017_A_161	0.002525806427001953,0.010383552871644497,0.01406649500131607,0.012748975306749344,0.0687517523765564,0.02494150772690773
34170_0017_A_162	0.029122402891516685,0.040376193821430206,0.010495268739759922,0.04039137065410614,0.0826951190829277,0.19586730003356934
34170_0017_A_163	0.018513308838009834,0.06615187227725983,0.4599091410636902,0.4134358763694763,0.20224763453006744,0.22864100337028503
34170_0017_A_164	0.009535383433103561,0.31066998839378357,0.011115024797618389,0.03628132864832878,0.012621825560927391,0.05321519821882248
34170_0017_A_165	0.00974927470088005,0.04159819707274437,0.1085423082113266,0.27233564853668213,0.0572931133210659,0.37007999420166016
34170_0017_A_166	0.046575743705034256,0.29249605536460876,0.06150295212864876,0.1601136475801468,0.019446752965450287,0.24550408124923706
34170_0017_A_167	0.3556402325630188,1.4475038051605225,0.012117316946387291,0.01606396958231926,0.005470765754580498,0.30584952235221863
34170_0017_A_168	0.022330231964588165,0.013344308361411095,0.012361569330096245,0.03793977573513985,0.1280016303062439,0.3841833472251892
34170_0017_A_169	0.04945320636034012,0.0216082613915205,0.010912812314927578,0.15736857056617737,0.06441827863454819,0.08040506392717361
34170_0017_A_173	0.10513199865818024,0.057700954377651215,0.02268887683749199,0.023607324808835983,0.0309953223913908,0.28760531544685364
34170_0017_A_170	0.010511644184589386,0.030672945082187653,0.01944654807448387,0.05421063303947449,0.022131316363811493,0.4929269552230835
34170_0017_A_172	0.1497717946767807,0.09121234714984894,0.022721368819475174,0.03881072625517845,0.021731382235884666,0.2246757447719574
34170_0017_A_175	0.006023035850375891,0.029735490679740906,0.008498004637658596,0.013510260730981827,0.0410817451775074,0.010466154664754868
34170_0017_A_176	0.006247687619179487,0.0200806837528944,0.010480737313628197,0.010709384456276894,0.05167028307914734,0.008955134078860283
34170_0017_A_178	0.1084776520729065,0.2281123697757721,0.00984839629381895,0.022600773721933365,0.008035157807171345,0.07918015122413635
34170_0017_A_179	0.021685805171728134,0.7408806085586548,0.1440475881099701,0.09480837732553482,0.021067053079605103,0.05384133756160736
34170_0017_A_181	0.12038286030292511,0.238665372133255,0.00937694776803255,0.012457268312573433,0.006068868096917868,0.061645522713661194
34170_0017_A_182	0.24785038828849792,0.2776462435722351,0.12452662736177444,0.19696679711341858,0.0701536238193512,0.14860831201076508
34170_0017_A_184	0.05135921388864517,0.041401781141757965,0.005546410568058491,0.221546933054924,0.030092064291238785,0.07155343890190125
34170_0017_A_185	0.030002759769558907,0.028798434883356094,0.008768935687839985,0.14867694675922394,0.05344497412443161,0.03900011628866196
34170_0017_A_187	0.032871782779693604,0.019892919808626175,0.008076690137386322,0.19426849484443665,0.060910340398550034,0.057269059121608734
34170_0017_A_188	0.05508147552609444,0.04148855060338974,0.12512879073619843,0.8017828464508057,0.042441755533218384,0.20084646344184875
34170_0017_A_189	0.035220835357904434,0.08399255573749542,0.05844290927052498,0.19655045866966248,0.4948888421058655,0.09766323864459991
34170_0017_A_191	1.7108691930770874,0.13695576786994934,0.0038772444240748882,0.020080549642443657,0.01624707505106926,0.07711333781480789
34170_0017_A_192	1.098979115486145,0.0974941998720169,0.005229035392403603,0.013589532114565372,0.01860194467008114,0.07642640173435211
34170_0017_A_193	0.031490519642829895,0.9726558923721313,0.07885300368070602,0.01843181625008583,0.015303215011954308,0.09378013014793396
34170_0017_A_194	0.039181970059871674,0.2635135054588318,0.0208108089864254,0.3193238079547882,0.023974858224391937,0.1122518926858902
34170_0017_A_195	0.489041268825531,0.1955135017633438,0.009463746100664139,0.02062489464879036,0.01215435191988945,0.10318969190120697
34170_0017_A_196	0.4881712794303894,0.19280070066452026,0.007358653470873833,0.011571431532502174,0.01840699091553688,0.1533677875995636
34170_0017_A_198	0.055774226784706116,0.022350363433361053,0.002605777233839035,0.02201157435774803,0.03288888931274414,0.037586379796266556
34170_0017_A_199	0.029557105153799057,0.011048857122659683,0.003638035152107477,0.01740105450153351,0.03518568351864815,0.0719829797744751
34170_0017_A_200	0.0169471837580204,0.05501097813248634,0.004286793991923332,0.010678309015929699,0.058799177408218384,0.061011649668216705
34170_0019_A_207	0.003591489978134632,0.0069824764505028725,0.005371700040996075,0.007791881449520588,0.05775246396660805,0.039932165294885635
34170_0019_A_208	0.026980511844158173,0.013867311179637909,0.005175985861569643,0.012331690639257431,0.10032147914171219,0.014224307611584663
34170_0019_A_209	0.03919763118028641,0.2695750892162323,0.01059381291270256,0.01786811463534832,0.04427970573306084,0.024237416684627533
34170_0019_A_210	0.0013418222079053521,0.0041155340149998665,0.011313587427139282,0.012801548466086388,0.013106346130371094,0.008306661620736122
34170_0019_A_217	0.006047223694622517,0.05044884234666824,0.007076059468090534,0.004844773560762405,0.020096752792596817,0.011961650103330612
34170_0019_A_219	0.046638913452625275,0.8877670168876648,0.009575928561389446,0.03648144379258156,0.029627462849020958,0.04458659142255783
34170_0019_A_225	0.004596466198563576,0.005628808401525021,0.012738538905978203,0.02793305739760399,0.018262818455696106,0.0589766800403595
34170_0019_A_226	0.15821276605129242,0.11603657901287079,0.0037747244350612164,0.007608781568706036,0.007406491786241531,0.09678087383508682
34170_0019_A_231	0.008410072885453701,0.012720774859189987,0.009295374155044556,0.036997321993112564,0.01880115270614624,0.013264073990285397
34170_0020_A_238	0.008682259358465672,0.1761540174484253,0.0030974559485912323,0.008795039728283882,0.011156996712088585,0.00851941853761673
34170_0020_A_239	0.008151918649673462,0.16076058149337769,0.002364116022363305,0.006230732426047325,0.010700153186917305,0.01008074264973402
34170_0020_A_240	0.017275020480155945,0.04616869240999222,0.08430090546607971,0.04251626133918762,0.01648772694170475,0.013868127018213272
34170_0020_A_241	0.009464033879339695,0.038471467792987823,0.012741677463054657,0.04290882125496864,0.0409558042883873,0.02873200550675392
34170_0020_A_242	0.0068396469578146935,0.0028766891919076443,0.02293524332344532,0.05134500563144684,0.18535470962524414,0.12485568225383759
34170_0020_A_243	0.01781660132110119,0.036747634410858154,0.012591817416250706,0.6261821389198303,0.020052645355463028,0.09894001483917236
34170_0020_A_246	0.11314588040113449,0.04838917404413223,0.007768798619508743,0.010004053823649883,0.014042554423213005,0.035400390625
34170_0020_A_247	0.22552025318145752,0.6949130296707153,0.01597433350980282,0.007554071955382824,0.03778667747974396,0.050463929772377014
34170_0020_A_251	0.016668962314724922,0.00968506745994091,0.0022998698987066746,0.0047329990193247795,0.03405154496431351,0.018932577222585678
34170_0020_A_252	0.01185388583689928,0.0034347320906817913,0.004922922700643539,0.0028910210821777582,0.04863082990050316,0.02683676965534687
34170_0021_A_255	0.00876723974943161,0.007238490507006645,0.1499815583229065,0.008287061005830765,0.19646236300468445,0.056700028479099274
34170_0021_A_257	0.004782358184456825,0.00967357587069273,0.004870906472206116,0.016238201409578323,0.13105860352516174,0.010996443219482899
34170_0021_A_259	0.008665293455123901,0.02191862277686596,0.4901982843875885,0.02223784103989601,0.3846643567085266,0.05230943486094475
34170_0021_A_261	0.2182338684797287,0.3231976330280304,0.005740920081734657,0.01441069133579731,0.038068633526563644,0.19272275269031525
34170_0021_A_262	0.0018072794191539288,0.003964284434914589,0.019591305404901505,0.05026336759328842,0.20869924128055573,0.06001923233270645
34170_0022_A_265	0.014154670760035515,0.015436060726642609,0.0037635827902704477,0.0059952512383461,0.00650976225733757,0.018224522471427917
34170_0022_A_266	0.02571086958050728,0.010442056693136692,0.02122596837580204,0.002354338997974992,0.08925643563270569,0.04379112645983696
34170_0022_A_267	0.012036326341331005,0.008512936532497406,0.0182753037661314,0.0031852968968451023,0.09674394130706787,0.02757464535534382
34170_0022_A_268	0.005584777798503637,0.007073629647493362,0.005151719786226749,0.012651982717216015,0.04656123369932175,0.009916098788380623
34170_0022_A_269	0.004817262291908264,0.02341507375240326,0.007147137075662613,0.03057822771370411,0.04364249110221863,0.03790758177638054
34170_0022_A_270	0.006838228553533554,0.018137484788894653,0.005298741161823273,0.026226937770843506,0.04128318652510643,0.0383087657392025
34170_0022_A_271	0.0642375499010086,0.5274897813796997,0.020044146105647087,0.0386117547750473,0.01503090187907219,0.07385207712650299
34170_0022_A_272	0.012184403836727142,1.594954490661621,0.01085478812456131,0.026919588446617126,0.004991666413843632,0.06038163602352142
34170_0022_A_273	0.002744081662967801,0.006425490602850914,0.014596225693821907,0.024998679757118225,0.1215863898396492,0.020035499706864357
34170_0022_A_276	0.003108824137598276,0.0029586758464574814,0.02629774622619152,0.03085317835211754,0.17554663121700287,0.03678809106349945
34170_0022_A_279	0.0056779226288199425,0.014615187421441078,0.004926664289087057,0.03123719058930874,0.21029406785964966,0.010722215287387371
34170_0022_A_280	0.015531577169895172,0.03536652773618698,0.002828137716278434,0.00824914313852787,0.053280241787433624,0.007469381205737591
34170_0022_A_281	0.013981731608510017,0.010981426574289799,0.0029079962987452745,0.006754650734364986,0.07709698379039764,0.010214010253548622
34170_0022_A_282	0.006344377063214779,0.003597236704081297,0.009667337872087955,0.006003359332680702,0.23233765363693237,0.021284285932779312
34170_0022_A_283	0.005927223712205887,0.003695728722959757,0.0059002479538321495,0.009021037258207798,0.1439562737941742,0.0077740466222167015
34170_0022_A_284	0.026146300137043,0.1499532014131546,0.010106213390827179,0.01473439671099186,0.03827929496765137,0.222450390458107
34170_0022_A_285	0.005746176466345787,0.025697819888591766,0.005072153173387051,0.010861310176551342,0.06542088836431503,0.010396151803433895
34170_0022_A_286	0.026146300137043,0.1499532014131546,0.010106213390827179,0.01473439671099186,0.03827929496765137,0.222450390458107
34170_0022_A_287	0.008611828088760376,0.012391796335577965,0.00793391838669777,0.0210999958217144,0.4254733920097351,0.02154792845249176
34170_0022_A_288	0.1487884819507599,0.8882746696472168,0.028219353407621384,0.016841549426317215,0.07738149166107178,0.044404298067092896
34170_0022_A_291	0.015015006065368652,0.005270333960652351,0.005015685223042965,0.011495064944028854,0.07650548219680786,0.06561978906393051
34170_0022_A_292	0.021211229264736176,0.005410593003034592,0.0048905592411756516,0.008931328542530537,0.05330755189061165,0.07205834239721298
34170_0022_A_293	0.020916281268000603,0.007177804596722126,0.007128257304430008,0.010241699405014515,0.05358376353979111,0.07131487131118774
34170_0022_A_302	0.009476900100708008,0.019228946417570114,0.004542232491075993,0.009051932953298092,0.2998995780944824,0.018771739676594734
34170_0022_A_295	0.016458969563245773,0.010431142523884773,0.01919490471482277,0.059060487896203995,0.056347690522670746,0.1290421038866043
34170_0022_A_298	0.01013075653463602,0.01838991977274418,0.007763420697301626,0.017330817878246307,0.4090827405452728,0.012999219819903374
34170_0022_A_299	0.009885556995868683,0.07283934950828552,0.00532563216984272,0.015757422894239426,0.10816913843154907,0.014380449429154396
34170_0022_A_300	0.013157380744814873,0.03520650044083595,0.007916675880551338,0.006776613648980856,0.21264919638633728,0.015128402039408684
34170_0022_A_301	0.007653628941625357,0.6678879261016846,0.00754260178655386,0.04172500595450401,0.01946672797203064,0.06455658376216888
34170_0022_A_303	0.10207326710224152,0.6848422884941101,0.02055453509092331,0.014677771367132664,0.08100437372922897,0.04639745131134987
34170_0022_A_304	0.011739595793187618,0.14816038310527802,0.01125242654234171,0.021015167236328125,0.06660396605730057,0.015500170178711414
34170_0022_A_305	0.0075583308935165405,0.01712799072265625,0.019694380462169647,0.08396287262439728,0.10781624913215637,0.05132090672850609
34170_0022_A_308	0.0037914924323558807,0.034213606268167496,0.0059843286871910095,0.02100585587322712,0.03380344808101654,0.012011594139039516
34170_0022_A_309	0.0020458721555769444,0.007420357782393694,0.014930635690689087,0.08720537275075912,0.12097936868667603,0.058964334428310394
34170_0022_A_310	0.005525820888578892,0.19710692763328552,0.009923910722136497,0.1377769410610199,0.043434031307697296,0.012082820758223534
34170_0022_A_311	0.005144203547388315,0.05758672207593918,0.05621929466724396,0.11321642249822617,0.05109173059463501,0.5245944857597351
34170_0022_A_312	0.06073387712240219,0.6271443367004395,0.013115620240569115,0.02709922567009926,0.02478807419538498,0.0587761253118515
34170_0022_A_315	0.010779199190437794,0.008738341741263866,0.016371704638004303,0.058394305408000946,0.0677322968840599,0.17661717534065247
34170_0022_A_316	0.012988677248358727,0.037335313856601715,0.003709211014211178,0.04660052806138992,0.026958897709846497,0.029586534947156906
34170_0022_A_319	0.1487884819507599,0.8882746696472168,0.028219353407621384,0.016841549426317215,0.07738149166107178,0.044404298067092896
34170_0022_A_322	0.006724104285240173,0.017273571342229843,0.005933740641921759,0.013571823947131634,0.058334704488515854,0.0527755543589592
34170_0022_A_323	0.025116916745901108,0.2689269185066223,0.00777282752096653,0.02063659019768238,0.04221808537840843,0.09041372686624527
34170_0022_A_324	0.23222559690475464,1.3576022386550903,0.005169480573385954,0.010664617642760277,0.0058365315198898315,0.06662218272686005
34170_0022_A_327	0.003321012482047081,0.030051391571760178,0.013547634705901146,0.028302129358053207,0.016315238550305367,0.21130988001823425
34170_0022_A_328	0.01224575936794281,0.44836461544036865,0.017647989094257355,0.09228754043579102,0.06236033886671066,0.0955514907836914
34170_0022_A_329	0.0020458721555769444,0.007420357782393694,0.014930635690689087,0.08720537275075912,0.12097936868667603,0.058964334428310394
34170_0022_A_330	0.008040348067879677,0.03364142030477524,0.010644132271409035,0.009633518755435944,0.0323195643723011,0.04950641468167305
34170_0022_A_331	0.06157144159078598,0.6661431789398193,0.00696944072842598,0.027734432369470596,0.019018368795514107,0.15659382939338684
